DHDDS	ENSFCAG00000012811	ENSFCAT00000012815	ENSFCAT00000012815.6
-	ENSFCAG00000048131	ENSFCAT00000081971	ENSFCAT00000081971.1
ING3	ENSFCAG00000029472	ENSFCAT00000023810	ENSFCAT00000023810.4
TLCD1	ENSFCAG00000004022	ENSFCAT00000004023	ENSFCAT00000004023.6
MKNK1	ENSFCAG00000007999	ENSFCAT00000055495	ENSFCAT00000055495.2
-	ENSFCAG00000052327	ENSFCAT00000075531	ENSFCAT00000075531.1
-	ENSFCAG00000047272	ENSFCAT00000081873	ENSFCAT00000081873.1
-	ENSFCAG00000045294	ENSFCAT00000057116	ENSFCAT00000057116.2
-	ENSFCAG00000047343	ENSFCAT00000083342	ENSFCAT00000083342.1
GP5	ENSFCAG00000035803	ENSFCAT00000047502	ENSFCAT00000047502.2
ASNS	ENSFCAG00000022830	ENSFCAT00000030972	ENSFCAT00000030972.4
ADRB1	ENSFCAG00000045161	ENSFCAT00000053422	ENSFCAT00000053422.1
-	ENSFCAG00000039402	ENSFCAT00000056039	ENSFCAT00000056039.2
SLC27A4	ENSFCAG00000005841	ENSFCAT00000082274	ENSFCAT00000082274.1
-	ENSFCAG00000051362	ENSFCAT00000070893	ENSFCAT00000070893.1
CAVIN4	ENSFCAG00000045860	ENSFCAT00000061515	ENSFCAT00000061515.2
-	ENSFCAG00000040701	ENSFCAT00000061211	ENSFCAT00000061211.2
CNN3	ENSFCAG00000015097	ENSFCAT00000075682	ENSFCAT00000075682.1
PNPLA8	ENSFCAG00000030045	ENSFCAT00000029117	ENSFCAT00000029117.4
OLFM2	ENSFCAG00000029446	ENSFCAT00000067969	ENSFCAT00000067969.1
-	ENSFCAG00000041645	ENSFCAT00000063011	ENSFCAT00000063011.2
LRRC15	ENSFCAG00000031861	ENSFCAT00000030323	ENSFCAT00000030323.4
TMEM254	ENSFCAG00000046502	ENSFCAT00000050960	ENSFCAT00000050960.2
CCDC186	ENSFCAG00000031121	ENSFCAT00000025572	ENSFCAT00000025572.4
MAMDC4	ENSFCAG00000025055	ENSFCAT00000032191	ENSFCAT00000032191.4
TYSND1	ENSFCAG00000044166	ENSFCAT00000062792	ENSFCAT00000062792.2
-	ENSFCAG00000040456	ENSFCAT00000055584	ENSFCAT00000055584.1
-	ENSFCAG00000053842	ENSFCAT00000082432	ENSFCAT00000082432.1
-	ENSFCAG00000050498	ENSFCAT00000075680	ENSFCAT00000075680.1
-	ENSFCAG00000049813	ENSFCAT00000081329	ENSFCAT00000081329.1
-	ENSFCAG00000051782	ENSFCAT00000069100	ENSFCAT00000069100.1
RPL23A	ENSFCAG00000004021	ENSFCAT00000004022	ENSFCAT00000004022.6
TMEM252	ENSFCAG00000008053	ENSFCAT00000008054	ENSFCAT00000008054.5
FAM214B	ENSFCAG00000001125	ENSFCAT00000001124	ENSFCAT00000001124.5
CPN2	ENSFCAG00000015345	ENSFCAT00000015349	ENSFCAT00000015349.3
CHCHD3	ENSFCAG00000006958	ENSFCAT00000067902	ENSFCAT00000067902.1
PLPPR1	ENSFCAG00000001413	ENSFCAT00000033398	ENSFCAT00000033398.3
-	ENSFCAG00000043536	ENSFCAT00000053144	ENSFCAT00000053144.1
-	ENSFCAG00000040173	ENSFCAT00000058755	ENSFCAT00000058755.2
-	ENSFCAG00000050559	ENSFCAT00000084513	ENSFCAT00000084513.1
-	ENSFCAG00000049476	ENSFCAT00000078874	ENSFCAT00000078874.1
-	ENSFCAG00000053719	ENSFCAT00000072226	ENSFCAT00000072226.1
CALCOCO2	ENSFCAG00000010622	ENSFCAT00000071795	ENSFCAT00000071795.1
-	ENSFCAG00000051577	ENSFCAT00000075315	ENSFCAT00000075315.1
-	ENSFCAG00000045027	ENSFCAT00000055847	ENSFCAT00000055847.1
HES1	ENSFCAG00000042282	ENSFCAT00000066939	ENSFCAT00000066939.2
U6	ENSFCAG00000038841	ENSFCAT00000035495	ENSFCAT00000035495.2
-	ENSFCAG00000050348	ENSFCAT00000077934	ENSFCAT00000077934.1
CKS2	ENSFCAG00000022286	ENSFCAT00000027459	ENSFCAT00000027459.4
-	ENSFCAG00000046209	ENSFCAT00000048763	ENSFCAT00000048763.2
-	ENSFCAG00000050111	ENSFCAT00000086577	ENSFCAT00000086577.1
-	ENSFCAG00000018867	ENSFCAT00000067182	ENSFCAT00000067182.2
-	ENSFCAG00000002739	ENSFCAT00000022173	ENSFCAT00000022173.4
MOB3C	ENSFCAG00000008001	ENSFCAT00000052180	ENSFCAT00000052180.2
-	ENSFCAG00000048777	ENSFCAT00000068879	ENSFCAT00000068879.1
-	ENSFCAG00000044461	ENSFCAT00000055409	ENSFCAT00000055409.2
SAR1A	ENSFCAG00000043085	ENSFCAT00000057065	ENSFCAT00000057065.2
-	ENSFCAG00000036664	ENSFCAT00000042445	ENSFCAT00000042445.2
-	ENSFCAG00000040849	ENSFCAT00000072721	ENSFCAT00000072721.1
-	ENSFCAG00000048422	ENSFCAT00000067861	ENSFCAT00000067861.1
SNTN	ENSFCAG00000003859	ENSFCAT00000003860	ENSFCAT00000003860.4
U2	ENSFCAG00000041271	ENSFCAT00000062590	ENSFCAT00000062590.1
U2	ENSFCAG00000042392	ENSFCAT00000058900	ENSFCAT00000058900.1
U2	ENSFCAG00000045856	ENSFCAT00000059743	ENSFCAT00000059743.1
-	ENSFCAG00000047880	ENSFCAT00000081064	ENSFCAT00000081064.1
-	ENSFCAG00000040270	ENSFCAT00000054272	ENSFCAT00000054272.2
U2	ENSFCAG00000040342	ENSFCAT00000060142	ENSFCAT00000060142.1
-	ENSFCAG00000050782	ENSFCAT00000084826	ENSFCAT00000084826.1
-	ENSFCAG00000053158	ENSFCAT00000070297	ENSFCAT00000070297.1
-	ENSFCAG00000050274	ENSFCAT00000068397	ENSFCAT00000068397.1
-	ENSFCAG00000048124	ENSFCAT00000074631	ENSFCAT00000074631.1
-	ENSFCAG00000040164	ENSFCAT00000052990	ENSFCAT00000052990.2
-	ENSFCAG00000049232	ENSFCAT00000077766	ENSFCAT00000077766.1
-	ENSFCAG00000047359	ENSFCAT00000068952	ENSFCAT00000068952.1
-	ENSFCAG00000049736	ENSFCAT00000071857	ENSFCAT00000071857.1
-	ENSFCAG00000049243	ENSFCAT00000077421	ENSFCAT00000077421.1
-	ENSFCAG00000031986	ENSFCAT00000026391	ENSFCAT00000026391.3
SECISBP2	ENSFCAG00000004214	ENSFCAT00000080808	ENSFCAT00000080808.1
-	ENSFCAG00000026863	ENSFCAT00000023460	ENSFCAT00000023460.3
-	ENSFCAG00000042667	ENSFCAT00000031429	ENSFCAT00000031429.4
-	ENSFCAG00000024163	ENSFCAT00000041854	ENSFCAT00000041854.3
KCNE1	ENSFCAG00000006759	ENSFCAT00000006761	ENSFCAT00000006761.5
BAAT	ENSFCAG00000025396	ENSFCAT00000001414	ENSFCAT00000001414.5
U2	ENSFCAG00000043393	ENSFCAT00000059083	ENSFCAT00000059083.1
SNORA62	ENSFCAG00000039770	ENSFCAT00000042766	ENSFCAT00000042766.2
-	ENSFCAG00000050602	ENSFCAT00000073272	ENSFCAT00000073272.1
UMODL1	ENSFCAG00000012699	ENSFCAT00000056972	ENSFCAT00000056972.2
SNORA62	ENSFCAG00000037518	ENSFCAT00000046023	ENSFCAT00000046023.2
-	ENSFCAG00000050052	ENSFCAT00000080683	ENSFCAT00000080683.1
-	ENSFCAG00000048027	ENSFCAT00000083300	ENSFCAT00000083300.1
-	ENSFCAG00000052786	ENSFCAT00000076464	ENSFCAT00000076464.1
-	ENSFCAG00000053446	ENSFCAT00000081511	ENSFCAT00000081511.1
-	ENSFCAG00000050668	ENSFCAT00000070350	ENSFCAT00000070350.1
U2	ENSFCAG00000045238	ENSFCAT00000050202	ENSFCAT00000050202.1
URM1	ENSFCAG00000005842	ENSFCAT00000086431	ENSFCAT00000086431.1
